gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000033880	976.2460987650893	1.6183149584252565	0.14992847119257216	4.38039033563954e-28	7.548288626374056e-24
ENSMUSG00000005397	1030.0999924259497	-0.796462022314304	0.0932150275191741	1.4302939641293868e-20	1.2323412794938798e-16
ENSMUSG00000006522	3851.099872312304	0.6980578087174915	0.08143369805780534	6.581179420888384e-20	3.780229459358288e-16
ENSMUSG00000079017	96.8885049544818	2.3651834449729083	0.29192336010029835	9.456997260085117e-18	4.0740744196446684e-14
ENSMUSG00000115529	152.41359965145816	-1.4795212153086914	0.18676525916307674	7.770308622828024e-17	2.67795916377145e-13
ENSMUSG00000052229	815.7827979607991	-1.0101837514407503	0.14153530474995762	1.1080713178565192e-16	3.182380824883923e-13
ENSMUSG00000064215	900.859005865018	0.922854296057275	0.13420034317498117	1.0580090147691077e-15	2.604515906071609e-12
ENSMUSG00000026879	3033.6870044495354	-0.7075738186353528	0.09771063694789867	2.1788812225417826e-15	4.693310153354999e-12
ENSMUSG00000033355	112.61413977185214	1.5419469306542466	0.22210696392997845	1.149796978551079e-13	2.2014779482657994e-10
ENSMUSG00000046718	217.14848708994137	1.3822460150164773	0.2178450476340958	1.2316113289000724e-12	2.1223126419606046e-9
ENSMUSG00000031425	65850.13697201818	-0.6620443275514177	0.10483537346671455	2.080678549891709e-12	3.259477524703085e-9
ENSMUSG00000038173	601.0730490818511	-0.7716261355502161	0.130619408391768	5.1655828386982655e-12	7.417776956370709e-9
ENSMUSG00000026043	323.7678547136344	-1.0181805023399548	0.20758101396589174	2.1089076930508104e-10	2.595764097617969e-7
ENSMUSG00000032487	75.88990977171194	1.4797462695249846	0.2670842417756842	2.0202244505448455e-10	2.595764097617969e-7
ENSMUSG00000038375	9812.942902844487	-0.4442822217965903	0.07921782633852757	2.882370091099437e-10	3.3112667606550327e-7
ENSMUSG00000047945	980.940672389755	-0.7320890969876447	0.14097911884352785	4.792901187757282e-10	5.161954579214593e-7
ENSMUSG00000025498	155.33071062462992	1.1677434774051767	0.2462639346998168	9.184472949803851e-10	9.309813992412939e-7
ENSMUSG00000028364	486.4148079924395	-0.6959441835456239	0.13606184142159194	1.133534398023401e-9	1.0851702637077359e-6
ENSMUSG00000130119	390.23838316427873	0.7137481291061698	0.1438148599508524	1.8990906513490386e-9	1.7223752686340333e-6
ENSMUSG00000019232	7430.1807287169995	0.6018557483860308	0.11603553468939562	2.0087668925228143e-9	1.7307535545976568e-6
ENSMUSG00000032854	3486.505137409491	-0.6930637214709945	0.1424253039120012	3.858000724283011e-9	2.9916614250015368e-6
ENSMUSG00000076439	888.0404053028382	-0.758708424794698	0.16158548806237755	3.7796759099272525e-9	2.9916614250015368e-6
ENSMUSG00000104674	109.61279541483151	1.1485176503057704	0.2604783472199528	3.993048559368346e-9	2.9916614250015368e-6
ENSMUSG00000038630	1939.5825810078477	0.5361601700609333	0.10764188529515051	7.479942349011521e-9	5.370598606590272e-6
ENSMUSG00000033579	1566.4244671217832	-0.4606781130912388	0.09319950637217247	9.663296338273194e-9	6.660716900044947e-6
ENSMUSG00000029661	1452.8972610540488	-0.5077825524217892	0.10303587428954993	1.020219198746196e-8	6.761698935690172e-6
ENSMUSG00000037625	6341.4015220178535	-0.5427561744945211	0.11090352952622858	1.1042108394005224e-8	7.047318957240667e-6
ENSMUSG00000026822	84.0392398819614	1.5323399895400769	0.3328698060660292	1.2494789244887447e-8	7.68965029528216e-6
ENSMUSG00000002100	1631.6282285821628	-0.5153816212707609	0.10899526561636304	2.5388525763575073e-8	1.5086037101997438e-5
ENSMUSG00000028927	815.3564060146833	-0.4820494280045732	0.10235521948644745	2.9013460598285236e-8	1.666533176765504e-5
