gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000022548	10765.543498311381	1.0939161066595746	0.09085753260861307	1.030771694605935e-34	2.033918707796431e-30
ENSMUSG00000006014	631.5955445561661	1.4162758782531994	0.1217137885422779	9.679569433410913e-33	9.549863203003207e-29
ENSMUSG00000019997	536.5731250411192	1.2399373462094556	0.11002959052631667	9.967129350888601e-31	6.555713211724462e-27
ENSMUSG00000021186	722.6980831785204	1.238228853284609	0.12080700425897949	5.986276553694665e-26	2.9530302239375785e-22
ENSMUSG00000037254	456.89757473561826	1.0983811994349402	0.10807064502785946	1.1921259897681808e-25	4.704606006021149e-22
ENSMUSG00000036151	122.60718041443099	-2.1734326957201957	0.23250244618974766	2.911839049342341e-23	8.20805830308901e-20
ENSMUSG00000045193	2343.0326474044628	1.1308340524600222	0.12071240520850535	3.1119848565997442e-22	7.67571064880327e-19
ENSMUSG00000018566	386.6372138214035	1.093926356341597	0.1221654042370724	1.2006847494802332e-20	2.6324346085271066e-17
ENSMUSG00000041559	1410.0481718829974	1.0120402247198317	0.11744124285356616	1.4663640538793498e-19	2.893429551114733e-16
ENSMUSG00000132973	300.0204069669437	-1.1917322012344502	0.1440575871845617	5.2790192754976805e-18	6.9443738896080156e-15
ENSMUSG00000032854	3486.505137409491	-1.1246210903188811	0.13893578571561632	1.96023065254521e-17	2.183159418078459e-14
ENSMUSG00000050211	479.68928380969396	1.317710510317207	0.16261217911729922	1.9915299779754846e-17	2.183159418078459e-14
ENSMUSG00000035929	182.50211506899723	1.2612615418282147	0.1564633119823899	2.981334572047227e-17	3.0961944092439944e-14
ENSMUSG00000043924	179.36051750916093	1.238255836115173	0.1550467156580602	5.4540524929385627e-17	5.124731609079225e-14
ENSMUSG00000005057	240.1627481107431	1.1332367904172498	0.1434872551994823	9.557360065402351e-17	8.037398422299339e-14
ENSMUSG00000037362	700.751572563931	1.1391996308847734	0.1442573469107907	9.77587482947416e-17	8.037398422299339e-14
ENSMUSG00000000791	119.84480178774723	1.4759440148697138	0.18988901582681417	1.8911609363404008e-16	1.4926555038347514e-13
ENSMUSG00000030711	769.8892725697309	1.0604682243655883	0.1365685893463277	2.0119266481387858e-16	1.52689756234902e-13
ENSMUSG00000050503	184.76036009410262	-1.7838665290367384	0.2392217096369997	7.905370189830156e-16	5.777361651323282e-13
ENSMUSG00000024136	284.4843726015492	-1.3331791659258565	0.17665384927247557	1.4918316091808693e-15	1.0513150468698896e-12
ENSMUSG00000110125	121.71515162190548	1.6145731159739085	0.21737843783662264	1.7092530071409562e-15	1.087967107642108e-12
ENSMUSG00000048373	84.54527457898197	1.5555207818042505	0.20894020342878483	1.8107198714201042e-15	1.1165351407144219e-12
ENSMUSG00000015852	197.7544567802938	-1.3239712183521806	0.17752095849594948	2.931953310351208e-15	1.7531303854500013e-12
ENSMUSG00000048368	217.37606733717652	1.132102498628937	0.1523372758229444	3.2573499915655804e-15	1.8904126480462363e-12
ENSMUSG00000035711	177.1074242049947	-1.4898550256926124	0.20633584746356254	1.1414281052657244e-14	6.256294270306465e-12
ENSMUSG00000074252	133.69124897999896	1.2186970589452586	0.17063026881552548	3.006040026431322e-14	1.482879545038571e-11
ENSMUSG00000116180	212.19578771316293	1.0381041094137053	0.15149232913200109	1.3010802779248088e-13	5.834753646366438e-11
ENSMUSG00000079507	88.12202913480527	1.337547505551759	0.21724251445903076	1.737283327224508e-11	5.1164290466856705e-9
ENSMUSG00000060794	152.89637544375364	1.1634007039070127	0.18936326370471507	1.7802190831392878e-11	5.165776904191828e-9
ENSMUSG00000089817	135.8297783783848	-1.2341260218925318	0.20760797848592893	6.150198452426744e-11	1.52306757876062e-8
ENSMUSG00000018727	102.06294237538701	-1.2220898585006492	0.20866161750696144	9.978828267607083e-11	2.4012468216636945e-8
ENSMUSG00000050063	522.7143478611906	-1.0073420874976031	0.17735548897212244	1.4732987661248056e-10	3.3415093394453633e-8
ENSMUSG00000116946	97.64992168021206	1.1891423614674965	0.21345524243513467	4.4940624912532495e-10	9.048657252796849e-8
ENSMUSG00000027824	80.8481964418968	1.2625438433836533	0.2279741002640715	5.604251314854702e-10	1.1058308694471297e-7
ENSMUSG00000023393	42.428082498723654	1.5657323487176578	0.2891557979857433	6.412912144380415e-10	1.2528671528011321e-7
ENSMUSG00000120913	68.89866286785548	1.4317308202835957	0.2647015168774577	9.139299211539469e-10	1.6697838152045998e-7
ENSMUSG00000029700	139.2182480938359	-1.0174497747981788	0.19093947139864195	9.845353482346555e-10	1.7660774083060202e-7
ENSMUSG00000044177	240.13009065309527	1.0460749900737853	0.19955251405533014	1.6828425663547212e-9	2.76715412660928e-7
